region,country,province,status,elapsed_s,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,MAPE,Data Start Date
Cuba,Cuba,None,ok,348.3,1.25,-10.0,1.12044450763695,0.27386238399737856,0.06349384046696192,0.47719034318469344,1.4971467990092735,1.3388864262339895,4.448281245127684,7.0,0.833634420146604,1.9374361843466215,2020-03-15
Guinea-Bissau,Guinea-Bissau,None,ok,90.3,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Finland,Finland,None,ok,248.5,0.9961346391456872,-8.317764729715261,1.0,0.5,0.0649208641665114,0.5,0.5769790402923765,0.48382725353937434,0.3170031510281672,0.10748990112278799,0.7144124672574751,0.8252582865548941,2020-03-15
France,France,None,ok,241.6,0.9653011750593935,10.0,3.0,0.411098058734323,0.1538439444264342,0.0,0.29994189394442716,0.3095773425449734,0.08548795821414949,0.2891979171388722,1.4319272085905232,1.198642561122862,2020-03-15
Estonia,Estonia,None,ok,274.2,0.7545879465361635,-9.939804528294298,1.0,0.07873622394613483,0.03735846754852578,0.0027980818674326773,0.235468812560181,0.7356115215316761,0.150308831243389,2.206698160042723,3.4081092439241885,1.4442658092958522,2020-03-15
Haiti,Haiti,None,ok,90.6,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Gabon,Gabon,None,ok,258.9,1.25,10.0,1.0,0.05,0.010706089304982961,0.4960794282431997,1.8724230297395383,0.10007977925925961,0.5493033429731295,1.804575966331616,2.4944508392162,6.133345318422027,2020-03-15
Equatorial Guinea,Equatorial Guinea,None,ok,308.2,1.25,10.0,1.0,0.26756474673115765,0.010232204736926478,0.14563166473338246,0.1,0.1,0.6071276345831957,7.0,5.0,4.792713231397264,2020-03-15
Germany,Germany,None,ok,241.1,0.75,-10.0,1.0099818313373585,0.07428996758259492,0.04933151034807655,0.0,1.2905340246523995,1.3615460065999818,1.6134774684585114,3.7424451287279994,0.27033336206751846,0.7380018499640713,2020-03-15
Georgia,Georgia,None,ok,275.6,1.25,-9.642133402514466,1.0,0.1731109910278995,0.017010654070940583,0.041288664075057636,0.10043139414674647,0.35853919902699116,0.0,5.602124406063037,0.10690374288657481,1.8723464097355411,2020-03-15
Guatemala,Guatemala,None,ok,235.4,1.25,10.0,1.0,0.05,0.05200366697280185,0.0,6.614626988145658,0.1004661104227696,0.04068100877847112,2.6977227692683305,0.7487241298293735,22.013797832034488,2020-03-15
Greece,Greece,None,ok,240.9,0.8114414349308167,-10.0,1.0,0.06492298335564764,0.08277024061362262,0.5,0.1,0.7172736131479913,0.0,1.122172358919915,1.9447538278825418,1.6398602100035176,2020-03-15
Ghana,Ghana,None,ok,253.8,1.25,10.0,1.0,0.05,0.01,0.4481053691521616,0.14724755268380627,0.3737844937865816,0.7100594051892586,3.53468933037683,0.27193733856194624,24.55741540145334,2020-03-15
Guinea,Guinea,None,ok,233.0,1.25,10.0,1.0,0.05,0.01,0.14533986660347864,1.344445583989103,0.27984493856150006,0.5089121413570442,6.690071807527009,3.285316068383902,12.174951261555632,2020-03-15
Guyana,Guyana,None,ok,237.5,0.75,-10.0,3.0,0.05,0.01,0.5,0.1,0.1,0.0,0.0,0.385083121103753,94.99755569598224,2020-03-15
Hungary,Hungary,None,ok,225.2,1.1843684951817757,-4.535496140769751,1.1751280355145783,0.12520641604264854,0.14717008419008837,0.032460023871291876,1.6732177280446803,1.1653322113327946,0.40430357977671694,0.9720206187630629,1.483067414314921,0.3588459120749296,2020-03-15
Iceland,Iceland,None,ok,255.9,1.249999050957391,-9.997947794596463,1.7631399309099764,0.05,0.01,0.4545631203081655,0.3925050627736196,0.1009403529473067,1.772383493059445,5.107372053638743,0.17060247563432487,53.313640618853384,2020-03-15
Iraq,Iraq,None,ok,221.3,1.25,7.6521246223041155,1.0,0.05,0.04442509858711142,0.0,0.1,0.1,0.0,0.0,0.1,24.86550864496813,2020-03-15
India,India,None,ok,254.8,1.25,10.0,1.0,0.05,0.04449534921143232,0.0,0.24664730918674183,0.1,0.7686811212287136,7.0,5.0,9.657956015810205,2020-03-15
Honduras,Honduras,None,ok,286.1,1.25,10.0,1.0,0.05,0.06997628158243446,0.0920271547068875,1.811641124047278,0.16193261368504783,0.013057750839546209,6.493248224815737,0.7130122363861617,6.986962162113638,2020-03-15
Iran,Iran,None,ok,234.8,1.25,-5.499980361187103,1.0,0.5,0.0797063838480852,0.5,0.1,0.1,0.0,7.0,0.1,4.174343834535129,2020-03-15
Italy,Italy,None,ok,226.3,0.8071777128048373,-10.0,1.0,0.2103108954777089,0.14363449883254903,0.0,0.1,1.3574603295267704,0.0,0.020271471728778013,0.38847600061896725,0.5436021513472771,2020-03-15
Indonesia,Indonesia,None,ok,256.9,1.25,10.0,1.0,0.5,0.061439371337520234,0.0,0.10039209947238097,0.1,0.08839720807746942,0.483582607325476,0.7558810974573816,4.967089930043328,2020-03-15
Lesotho,Lesotho,None,ok,86.7,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,,2020-03-15
Japan,Japan,None,ok,269.8,1.041196885787168,10.0,2.4516201496390653,0.05403971273782557,0.058453392747916735,0.0,0.1,0.1,0.0,7.0,0.47188647859008837,0.9156501132258269,2020-03-15
Ireland,Ireland,None,ok,292.3,1.25,10.0,2.8512433861380786,0.13936250991108246,0.07568568946998076,0.11830584582693392,0.4277634175760386,0.11630247777841879,2.3093242901195867,5.574800290427901,0.8523308287565884,0.3091420115963849,2020-03-15
Libya,Libya,None,ok,79.1,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Liberia,Liberia,None,ok,87.8,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Lithuania,Lithuania,None,ok,78.9,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Israel,Israel,None,ok,303.9,0.75,-10.0,1.0736952407718736,0.08107294599799401,0.01911241689152636,0.2829450264156619,3.441601782269091,4.114189979245816,1.7825716103448765,5.810040328347334,0.5463002181441835,2.1072056450506396,2020-03-15
Jordan,Jordan,None,ok,272.4,1.25,-8.575073075312424,1.0,0.5,0.014418157652663518,0.5,0.1,1.441461055557495,0.0,2.065752697352458,1.5506608558361632,8.025215901017546,2020-03-15
Jamaica,Jamaica,None,ok,296.9,1.131870487548909,10.0,1.6461339276469988,0.5,0.022953276502073103,0.5,0.1,0.1,0.0,5.668532191086856,0.27981756443038147,1.3562815568457145,2020-03-15
Madagascar,Madagascar,None,ok,83.5,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Malawi,Malawi,None,ok,80.0,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
"Korea, South","Korea, South",None,ok,198.1,0.75,-10.0,3.0,0.05,0.01740487262174845,0.0,0.1,0.1,0.0,7.0,0.1,1.3122872832236856,2020-03-15
Kenya,Kenya,None,ok,254.9,1.25,10.0,1.0,0.05,0.04951778137353091,0.0,0.14641196488508632,0.22012778658463256,0.38252690608849393,6.773821115274274,0.3676254250127128,8.711220137597223,2020-03-15
Mali,Mali,None,ok,85.9,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Kuwait,Kuwait,None,ok,243.0,1.25,9.128208667571194,1.0,0.05,0.011909648791913627,0.0,0.1,0.1,0.0,0.0,1.054311853988612,5.36153804967857,2020-03-15
Latvia,Latvia,None,ok,244.9,0.9353806643103855,-10.0,1.0,0.05,0.026287906648074625,0.0,0.1,2.005079624227374,0.0,0.0,0.33488134805713476,1.7040718800812944,2020-03-15
