policy,policy_vector,st_economic_costs,d_costs,h_costs,mh_costs,num_deaths,num_cases,humanitarian_costs,economic_costs,total_costs
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-Restrict_Mass_Gatherings_and_Schools_and_Others,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",51517575551.25691,124645817008.25394,723246627.2926829,40709616591.07108,28273,600113,166078680226.6177,51517575551.25691,217596255777.87463
Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others-Lockdown,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",58330857850.41451,98793114554.99496,631552898.1219512,40415174350.295364,22420,469904,139839841803.4123,58330857850.41451,198170699653.8268
Restrict_Mass_Gatherings-Lockdown-No_Measure,"['Restrict_Mass_Gatherings', 'Lockdown', 'No_Measure']",36804454518.76205,163371621053.815,715349420.6341465,41178129555.14883,37017,807300,205265100029.598,36804454518.76205,242069554548.36005
Restrict_Mass_Gatherings-Lockdown-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings']",41355867786.88592,132140090582.82668,627239776.390244,40818028067.29215,29950,648055,173585358426.50906,41355867786.88592,214941226213.395
Restrict_Mass_Gatherings-Lockdown-Restrict_Mass_Gatherings_and_Schools,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",55837445542.09422,74619656526.17856,451150397.6341464,40157632081.75642,16932,356013,115228439005.56912,55837445542.09422,171065884547.66333
Restrict_Mass_Gatherings-Lockdown-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['Restrict_Mass_Gatherings', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",44412081546.86115,116465716628.62755,581489602.6097561,40637580464.36593,26403,568257,157684786695.60324,44412081546.86115,202096868242.4644
Restrict_Mass_Gatherings-Lockdown-Restrict_Mass_Gatherings_and_Schools_and_Others,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",57952846498.236534,69742627349.12164,434707028.8536586,40101911269.40893,15828,331372,110279245647.38422,57952846498.236534,168232092145.62076
Restrict_Mass_Gatherings-Lockdown-Lockdown,"['Restrict_Mass_Gatherings', 'Lockdown', 'Lockdown']",64951524412.133156,57379460549.866486,390919144.5365854,39961108862.784645,13029,269106,97731488557.18771,64951524412.133156,162683012969.32086
Restrict_Mass_Gatherings_and_Schools-No_Measure-No_Measure,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'No_Measure']",27371026659.24289,519503731920.81305,1977140696.4878051,45241922728.74118,117638,2604401,566722795346.042,27371026659.24289,594093822005.2849
Restrict_Mass_Gatherings_and_Schools-No_Measure-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Restrict_Mass_Gatherings']",30853190509.208176,411224974994.28204,1662660675.3658538,43995719897.52937,93135,2053302,456883355567.17725,30853190509.208176,487736546076.38544
Restrict_Mass_Gatherings_and_Schools-No_Measure-Restrict_Mass_Gatherings_and_Schools,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",43244389935.96507,202608741623.6741,1013684450.1219513,41602999335.98293,45919,995187,245225425409.779,43244389935.96507,288469815345.7441
Restrict_Mass_Gatherings_and_Schools-No_Measure-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",33355334891.034023,355579608982.77405,1496690019.0,43356107564.6979,80542,1770451,400432406566.4719,33355334891.034023,433787741457.5059
Restrict_Mass_Gatherings_and_Schools-No_Measure-Restrict_Mass_Gatherings_and_Schools_and_Others,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",45175243901.01146,184333656655.98837,951690221.1219512,41394341955.28653,41782,902914,226679688832.39685,45175243901.01146,271854932733.40833
Restrict_Mass_Gatherings_and_Schools-No_Measure-Lockdown,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Lockdown']",51701391252.525314,137575822543.0121,785468050.0243903,40861947129.72521,31196,667477,179223237722.7617,51701391252.525314,230924628975.287
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-No_Measure,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'No_Measure']",30135934351.790085,357293149013.8331,1363218150.5853662,43401320093.494446,80908,1790445,402057687257.91296,30135934351.790085,432193621609.70306
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",34068856519.609604,281535432340.43115,1145995435.682927,42528666729.97092,63765,1404538,325210094506.08496,34068856519.609604,359278951025.6946
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",47367417443.30821,138542061201.72263,704361074.195122,40887888818.74962,31402,678949,180134311094.66736,47367417443.30821,227501728537.9756
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",36808154372.32404,243011712805.0265,1032208154.195122,42085586661.33054,55047,1208598,286129507620.5522,36808154372.32404,322937661992.8762
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-Restrict_Mass_Gatherings_and_Schools_and_Others,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",49380044891.75246,126203985953.19263,662632170.1463416,40746998221.23692,28609,616644,167613616344.5759,49380044891.75246,216993661236.32837
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings-Lockdown,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings', 'Lockdown']",56116861016.148384,94781690590.02565,551126910.292683,40389187435.17433,21495,458412,135722004935.49266,56116861016.148384,191838865951.64105
Restrict_Mass_Gatherings_and_Schools-Restrict_Mass_Gatherings_and_Schools-No_Measure,"['Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",41850398717.91405,97272050526.48187,394305102.29268295,40447780104.65755,22033,484323,138114135733.4321,41850398717.91405,179964534451.34613
