region_id,display_name,actual_cases,actual_deaths,rank1_cases,rank1_deaths,rank3_cases,rank3_deaths,cases_diff_pct,deaths_diff_pct
Israel__None,Israel / None,19277.0,302.0,734459.0,8378.0,734459.0,8378.0,0.0,0.0
Italy__None,Italy / None,212543.0,32562.0,150080.0,22887.0,150080.0,22887.0,0.0,0.0
Jamaica__None,Jamaica / None,640.0,5.0,1032.0,9.0,1032.0,9.0,0.0,0.0
Japan__None,Japan / None,16613.0,905.0,5997.0,317.0,5997.0,317.0,0.0,0.0
Jordan__None,Jordan / None,930.0,9.0,885.0,11.0,885.0,11.0,0.0,0.0
Kazakhstan__None,Kazakhstan / None,20208.0,149.0,19039.0,125.0,19039.0,125.0,0.0,0.0
Kenya__None,Kenya / None,7078.0,151.0,9400.0,221.0,9400.0,221.0,0.0,0.0
"Korea,_South__None","Korea,_South / None",3993.0,203.0,4481.0,185.0,4481.0,185.0,0.0,0.0
Kosovo__None,Kosovo / None,2693.0,48.0,1717.0,37.0,1717.0,37.0,0.0,0.0
Kuwait__None,Kuwait / None,36319.0,298.0,116636.0,831.0,116636.0,831.0,0.0,0.0
Latvia__None,Latvia / None,1000.0,30.0,927.0,27.0,927.0,27.0,0.0,0.0
Lebanon__None,Lebanon / None,1354.0,29.0,1337.0,28.0,1337.0,28.0,0.0,0.0
Liberia__None,Liberia / None,1013.0,62.0,1531.0,60.0,1531.0,60.0,0.0,0.0
Libya__None,Libya / None,12853.0,226.0,1250683.0,37577.0,1250683.0,37577.0,0.0,0.0
Lithuania__None,Lithuania / None,1658.0,75.0,1505.0,70.0,1505.0,70.0,0.0,0.0
Luxembourg__None,Luxembourg / None,3945.0,109.0,4119.0,111.0,4119.0,111.0,0.0,0.0
Madagascar__None,Madagascar / None,4765.0,35.0,547.0,6.0,547.0,6.0,0.0,0.0
Malawi__None,Malawi / None,5373.0,169.0,3510145.0,50863.0,3510145.0,50863.0,0.0,0.0
Malaysia__None,Malaysia / None,8066.0,121.0,6095.0,90.0,6095.0,90.0,0.0,0.0
Mali__None,Mali / None,2307.0,112.0,3665.0,184.0,3665.0,184.0,0.0,0.0
Malta__None,Malta / None,558.0,9.0,532.0,9.0,532.0,9.0,0.0,0.0
Mauritania__None,Mauritania / None,6717.0,154.0,808568.0,20571.0,797966.0,20331.0,1.3112069733141662,1.1666909726718833
Mauritius__None,Mauritius / None,239.0,8.0,235.0,8.0,235.0,8.0,0.0,0.0
Mexico__None,Mexico / None,165337.0,19747.0,105805.0,11901.0,105805.0,11901.0,0.0,0.0
Moldova__None,Moldova / None,14605.0,489.0,14435.0,483.0,14435.0,483.0,0.0,0.0
Monaco__None,Monaco / None,98.0,-3.0,6896.0,36.0,6896.0,36.0,0.0,0.0
Mongolia__None,Mongolia / None,163.0,0.0,603813.0,84.0,603813.0,84.0,0.0,0.0
Morocco__None,Morocco / None,10057.0,210.0,6968.0,159.0,6968.0,159.0,0.0,0.0
Mozambique__None,Mozambique / None,2456.0,19.0,326221.0,1310.0,326221.0,1310.0,0.0,0.0
Namibia__None,Namibia / None,10816.0,120.0,491518.0,4506.0,491571.0,4506.0,0.010782921479964553,0.0
Nepal__None,Nepal / None,22491.0,73.0,5793965.0,14317.0,5793985.0,14317.0,0.00034518675898105263,0.0
Netherlands__None,Netherlands / None,47813.0,6045.0,23516.0,3015.0,23516.0,3015.0,0.0,0.0
New_Zealand__None,New_Zealand / None,1413.0,22.0,799244.0,5282.0,799244.0,5282.0,0.0,0.0
Nicaragua__None,Nicaragua / None,4057.0,116.0,123652.0,2407.0,123652.0,2407.0,0.0,0.0
Niger__None,Niger / None,962.0,63.0,924.0,65.0,924.0,65.0,0.0,0.0
Nigeria__None,Nigeria / None,25022.0,572.0,29382.0,710.0,29382.0,710.0,0.0,0.0
Norway__None,Norway / None,7426.0,239.0,5793.0,194.0,5793.0,194.0,0.0,0.0
Oman__None,Oman / None,35925.0,153.0,47883.0,209.0,47883.0,209.0,0.0,0.0
Pakistan__None,Pakistan / None,148785.0,2839.0,131846.0,2648.0,131846.0,2648.0,0.0,0.0
Panama__None,Panama / None,24165.0,484.0,23681.0,489.0,23681.0,489.0,0.0,0.0
Paraguay__None,Paraguay / None,2352.0,17.0,3750.0,28.0,3622.0,27.0,3.4133333324231114,3.5714284438775556
Peru__None,Peru / None,240791.0,7257.0,166389.0,4877.0,166389.0,4877.0,0.0,0.0
Philippines__None,Philippines / None,26280.0,1087.0,25937.0,1057.0,25937.0,1057.0,0.0,0.0
Poland__None,Poland / None,29669.0,1253.0,18661.0,815.0,18661.0,815.0,0.0,0.0
Portugal__None,Portugal / None,36791.0,1520.0,36461.0,1504.0,36461.0,1504.0,0.0,0.0
Qatar__None,Qatar / None,80475.0,76.0,49149.0,30.0,49149.0,30.0,0.0,0.0
Romania__None,Romania / None,22034.0,1427.0,20571.0,1310.0,20571.0,1310.0,0.0,0.0
Russia__None,Russia / None,552435.0,7468.0,155666.0,1718.0,155666.0,1718.0,0.0,0.0
Rwanda__None,Rwanda / None,1003.0,3.0,9984.0,14.0,9984.0,14.0,0.0,0.0
San_Marino__None,San_Marino / None,593.0,37.0,262.0,20.0,262.0,20.0,0.0,0.0
Saudi_Arabia__None,Saudi_Arabia / None,131945.0,1011.0,89987.0,653.0,89987.0,653.0,0.0,0.0
Senegal__None,Senegal / None,6249.0,98.0,4631.0,57.0,4631.0,57.0,0.0,0.0
Serbia__None,Serbia / None,12606.0,259.0,17320.0,346.0,17320.0,346.0,0.0,0.0
Sierra_Leone__None,Sierra_Leone / None,1699.0,63.0,2458.0,87.0,2458.0,87.0,0.0,0.0
Singapore__None,Singapore / None,40592.0,26.0,73647.0,49.0,73647.0,49.0,0.0,0.0
Slovakia__None,Slovakia / None,1457.0,27.0,1085203.0,18839.0,1085203.0,18839.0,0.0,0.0
Slovenia__None,Slovenia / None,1277.0,108.0,739.0,65.0,739.0,65.0,0.0,0.0
Somalia__None,Somalia / None,2995.0,87.0,8140.0,199.0,7297.0,181.0,10.356265354993088,9.04522608519987
South_Africa__None,South_Africa / None,83774.0,1737.0,78657.0,1479.0,78657.0,1479.0,0.0,0.0
South_Sudan__None,South_Sudan / None,2350.0,47.0,2405069.0,36255.0,2405069.0,36255.0,0.0,0.0
Spain__None,Spain,236311.0,26847.0,113965.0,13424.0,113965.0,13424.0,0.0,0.0
Sri_Lanka__None,Sri_Lanka / None,1899.0,11.0,1444.0,10.0,1444.0,10.0,0.0,0.0
Sudan__None,Sudan / None,10885.0,681.0,6910561.0,385505.0,6910561.0,385505.0,0.0,0.0
Suriname__None,Suriname / None,4297.0,90.0,110755.0,2351.0,110755.0,2351.0,0.0,0.0
Sweden__None,Sweden / None,51448.0,5172.0,68975.0,6362.0,68975.0,6362.0,0.0,0.0
Switzerland__None,Switzerland / None,28931.0,1925.0,19465.0,1305.0,19465.0,1305.0,0.0,0.0
Tajikistan__None,Tajikistan / None,7455.0,59.0,1392020.0,13310.0,1392020.0,13310.0,0.0,0.0
Tanzania__None,Tanzania / None,362.0,16.0,365.0,16.0,365.0,16.0,0.0,0.0
Thailand__None,Thailand / None,3021.0,57.0,14052.0,250.0,14052.0,250.0,0.0,0.0
Togo__None,Togo / None,799.0,11.0,16928.0,190.0,16928.0,190.0,0.0,0.0
Trinidad_and_Tobago__None,Trinidad_and_Tobago / None,30.0,2.0,260.0,6.0,260.0,6.0,0.0,0.0
Tunisia__None,Tunisia / None,1046.0,46.0,915.0,40.0,894.0,40.0,2.2950819647048286,0.0
Turkey__None,Turkey / None,185053.0,4902.0,147511.0,3947.0,147511.0,3947.0,0.0,0.0
US__Alabama,US / Alabama,29443.0,838.0,28865.0,835.0,28865.0,835.0,0.0,0.0
US__Alaska,US / Alaska,984.0,12.0,791.0,13.0,791.0,13.0,0.0,0.0
US__Arizona,US / Arizona,52487.0,1348.0,51597.0,1332.0,51597.0,1332.0,0.0,0.0
US__Arkansas,US / Arkansas,15439.0,225.0,16332.0,236.0,16332.0,236.0,0.0,0.0
US__California,US / California,162098.0,5259.0,156830.0,4858.0,156830.0,4858.0,0.0,0.0
US__Colorado,US / Colorado,29163.0,1603.0,22715.0,1223.0,22715.0,1223.0,0.0,0.0
US__Connecticut,US / Connecticut,45398.0,4235.0,22649.0,2043.0,22649.0,2043.0,0.0,0.0
US__Delaware,US / Delaware,10785.0,505.0,8983.0,346.0,8983.0,346.0,0.0,0.0
US__District_of_Columbia,US / District_of_Columbia,9956.0,533.0,6890.0,353.0,6890.0,353.0,0.0,0.0
US__Florida,US / Florida,80008.0,2990.0,86803.0,2810.0,86803.0,2810.0,0.0,0.0
US__Georgia,US / Georgia,58957.0,2528.0,73809.0,2926.0,73809.0,2926.0,0.0,0.0
US__Hawaii,US / Hawaii,766.0,18.0,4162.0,74.0,4162.0,74.0,0.0,0.0
US__Idaho,US / Idaho,4719.0,87.0,4183.0,89.0,4183.0,89.0,0.0,0.0
US__Illinois,US / Illinois,134024.0,6484.0,41918.0,1922.0,41918.0,1922.0,0.0,0.0
US__Indiana,US / Indiana,42295.0,2536.0,39172.0,2333.0,39172.0,2333.0,0.0,0.0
US__Iowa,US / Iowa,26364.0,689.0,8791.0,224.0,8791.0,224.0,0.0,0.0
US__Kansas,US / Kansas,12973.0,259.0,9033.0,191.0,9033.0,191.0,0.0,0.0
US__Kentucky,US / Kentucky,13736.0,523.0,12581.0,491.0,12581.0,491.0,0.0,0.0
US__Louisiana,US / Louisiana,47591.0,3039.0,43620.0,2806.0,43620.0,2806.0,0.0,0.0
US__Maine,US / Maine,2889.0,102.0,2314.0,84.0,2314.0,84.0,0.0,0.0
US__Maryland,US / Maryland,63441.0,3029.0,29552.0,1390.0,29552.0,1390.0,0.0,0.0
US__Massachusetts,US / Massachusetts,101092.0,7576.0,33233.0,1950.0,33233.0,1950.0,0.0,0.0
US__Michigan,US / Michigan,66639.0,6059.0,49902.0,4532.0,49902.0,4532.0,0.0,0.0
US__Minnesota,US / Minnesota,32354.0,1404.0,7176.0,298.0,7176.0,298.0,0.0,0.0
US__Mississippi,US / Mississippi,20501.0,937.0,20646.0,897.0,20646.0,897.0,0.0,0.0
US__Missouri,US / Missouri,18471.0,977.0,17423.0,925.0,17423.0,925.0,0.0,0.0
US__Montana,US / Montana,743.0,21.0,767.0,22.0,767.0,22.0,0.0,0.0
US__Nebraska,US / Nebraska,18934.0,267.0,6814.0,88.0,6814.0,88.0,0.0,0.0
US__Nevada,US / Nevada,12815.0,484.0,12483.0,463.0,12483.0,463.0,0.0,0.0
US__New_Hampshire,US / New_Hampshire,5470.0,342.0,2912.0,177.0,2912.0,177.0,0.0,0.0
US__New_Jersey,US / New_Jersey,167250.0,14649.0,99417.0,7293.0,99417.0,7293.0,0.0,0.0
US__New_Mexico,US / New_Mexico,11079.0,484.0,9784.0,416.0,9784.0,416.0,0.0,0.0
US__New_York,New York (US),383311.0,31618.0,121009.0,10749.0,121009.0,10749.0,0.0,0.0
US__North_Carolina,US / North_Carolina,50110.0,1188.0,38210.0,943.0,38210.0,943.0,0.0,0.0
US__North_Dakota,US / North_Dakota,3467.0,77.0,4672.0,101.0,4672.0,101.0,0.0,0.0
US__Ohio,US / Ohio,43612.0,2667.0,41917.0,2461.0,41917.0,2461.0,0.0,0.0
US__Oklahoma,US / Oklahoma,11404.0,369.0,11758.0,422.0,11758.0,422.0,0.0,0.0
US__Oregon,US / Oregon,6636.0,186.0,8950.0,249.0,8950.0,249.0,0.0,0.0
US__Pennsylvania,US / Pennsylvania,84177.0,6319.0,38632.0,2868.0,38632.0,2868.0,0.0,0.0
US__Rhode_Island,US / Rhode_Island,16427.0,907.0,16642.0,730.0,16642.0,730.0,0.0,0.0
US__South_Carolina,US / South_Carolina,23630.0,641.0,25168.0,646.0,25168.0,646.0,0.0,0.0
US__South_Dakota,US / South_Dakota,6663.0,90.0,6970.0,93.0,6970.0,93.0,0.0,0.0
US__Tennessee,US / Tennessee,33863.0,515.0,33182.0,501.0,33182.0,501.0,0.0,0.0
US__Texas,US / Texas,97589.0,2253.0,104487.0,2009.0,104487.0,2009.0,0.0,0.0
US__Utah,US / Utah,17344.0,158.0,16786.0,156.0,16786.0,156.0,0.0,0.0
US__Vermont,US / Vermont,1066.0,48.0,971.0,47.0,971.0,47.0,0.0,0.0
US__Virginia,US / Virginia,56690.0,1600.0,22062.0,627.0,22062.0,627.0,0.0,0.0
US__Washington,US / Washington,25555.0,1180.0,22596.0,1018.0,22596.0,1018.0,0.0,0.0
US__West_Virginia,US / West_Virginia,2757.0,93.0,2591.0,95.0,2591.0,95.0,0.0,0.0
US__Wisconsin,US / Wisconsin,23765.0,719.0,22476.0,669.0,22476.0,669.0,0.0,0.0
US__Wyoming,US / Wyoming,1378.0,20.0,1356.0,22.0,1356.0,22.0,0.0,0.0
Uganda__None,Uganda / None,1166.0,6.0,5295414.0,104.0,5295414.0,104.0,0.0,0.0
Ukraine__None,Ukraine / None,40709.0,1073.0,44485.0,1170.0,44485.0,1170.0,0.0,0.0
United_Arab_Emirates__None,United_Arab_Emirates / None,43639.0,298.0,28288.0,202.0,28288.0,202.0,0.0,0.0
United_Kingdom__None,United_Kingdom / None,267923.0,39223.0,139633.0,21249.0,139633.0,21249.0,0.0,0.0
Uruguay__None,Uruguay / None,749.0,25.0,756.0,25.0,756.0,25.0,0.0,0.0
Uzbekistan__None,Uzbekistan / None,7844.0,20.0,6762.0,20.0,6762.0,20.0,0.0,0.0
Venezuela__None,Venezuela / None,4672.0,41.0,5337.0,46.0,5337.0,46.0,0.0,0.0
Vietnam__None,Vietnam / None,236.0,0.0,232.0,0.0,232.0,0.0,0.0,0.0
Yemen__None,Yemen / None,1763.0,515.0,5392564.0,1467940.0,5356114.0,1458275.0,0.6759307817207777,0.6584056569065095
Zambia__None,Zambia / None,5857.0,148.0,414194.0,2393.0,414194.0,2393.0,0.0,0.0
Zimbabwe__None,Zimbabwe / None,6256.0,191.0,940309.0,1540.0,940309.0,1540.0,0.0,0.0
