region,country,province,cap_ratio,eval_days,capped_days,capped_fraction,mean_policy_over_arctan_ratio
Thailand,Thailand,None,1.5,93,86,0.9247311827956989,15.74298313993831
Togo,Togo,None,1.5,93,89,0.956989247311828,6.003817940024678
Trinidad and Tobago,Trinidad and Tobago,None,1.5,93,93,1.0,9.983961720777938
Tunisia,Tunisia,None,1.5,93,93,1.0,8.16955848283815
Turkey,Turkey,None,1.5,93,86,0.9247311827956989,2.193033043758979
Uganda,Uganda,None,1.5,93,90,0.967741935483871,25.004064395839606
Ukraine,Ukraine,None,1.5,93,0,0.0,1.2803114868079262
United Arab Emirates,United Arab Emirates,None,1.5,93,89,0.956989247311828,3.5909073660525515
United Kingdom,United Kingdom,None,1.5,93,71,0.7634408602150538,1.7473543802528881
Uruguay,Uruguay,None,1.5,93,8,0.08602150537634409,1.168788608549499
US - Alabama,US,Alabama,1.5,93,0,0.0,1.3678605537721393
US - Alaska,US,Alaska,1.5,93,0,0.0,1.3754495562615539
US - Arizona,US,Arizona,1.5,93,0,0.0,1.03638073485173
US - Arkansas,US,Arkansas,1.5,93,0,0.0,1.163870723641968
US - California,US,California,1.5,93,0,0.0,1.0098228981015107
US - Colorado,US,Colorado,1.5,93,68,0.7311827956989247,1.6457268413110642
US - Connecticut,US,Connecticut,1.5,93,87,0.9354838709677419,3.1521584337489155
US - Delaware,US,Delaware,1.5,93,84,0.9032258064516129,2.940132168881777
US - District of Columbia,US,District of Columbia,1.5,93,89,0.956989247311828,2.97964248333852
US - Florida,US,Florida,1.5,93,0,0.0,1.009428150011155
US - Georgia,US,Georgia,1.5,93,0,0.0,1.1281932654610909
US - Hawaii,US,Hawaii,1.5,93,88,0.946236559139785,2.5126940630874195
US - Idaho,US,Idaho,1.5,93,0,0.0,1.0282843435228692
US - Illinois,US,Illinois,1.5,93,90,0.967741935483871,3.6684866845498214
US - Indiana,US,Indiana,1.5,93,61,0.6559139784946236,1.5957859846888907
US - Iowa,US,Iowa,1.5,93,88,0.946236559139785,2.5458524395964903
US - Kansas,US,Kansas,1.5,93,86,0.9247311827956989,2.0056790989314752
US - Kentucky,US,Kentucky,1.5,93,0,0.0,1.193393207746121
US - Louisiana,US,Louisiana,1.5,93,0,0.0,1.1241413422571422
US - Maine,US,Maine,1.5,93,60,0.6451612903225806,1.5760431535873385
US - Maryland,US,Maryland,1.5,93,93,1.0,3.0149824092332036
US - Massachusetts,US,Massachusetts,1.5,93,91,0.978494623655914,4.395755993516803
US - Michigan,US,Michigan,1.5,93,80,0.8602150537634409,1.8121068407953533
US - Minnesota,US,Minnesota,1.5,93,70,0.7526881720430108,1.7505841543497043
US - Mississippi,US,Mississippi,1.5,93,0,0.0,1.1522416593116889
US - Missouri,US,Missouri,1.5,93,0,0.0,1.1220422581499472
US - Montana,US,Montana,1.5,93,88,0.946236559139785,2.1808878507584875
US - Nebraska,US,Nebraska,1.5,93,88,0.946236559139785,2.6365122411964035
US - Nevada,US,Nevada,1.5,93,0,0.0,0.9709238098835985
US - New Hampshire,US,New Hampshire,1.5,93,93,1.0,2.2274619339447272
US - New Jersey,US,New Jersey,1.5,93,93,1.0,3.926288814392516
US - New Mexico,US,New Mexico,1.5,93,66,0.7096774193548387,1.6044380395395301
US - New York,US,New York,1.5,93,93,1.0,3.1569792825467187
US - North Carolina,US,North Carolina,1.5,93,0,0.0,1.0204681116788612
US - North Dakota,US,North Dakota,1.5,93,87,0.9354838709677419,2.6576724147779043
US - Ohio,US,Ohio,1.5,93,19,0.20430107526881722,1.278792484722303
US - Oklahoma,US,Oklahoma,1.5,93,0,0.0,1.3992074963307575
US - Oregon,US,Oregon,1.5,93,0,0.0,1.1036494360651166
US - Pennsylvania,US,Pennsylvania,1.5,93,44,0.4731182795698925,1.4170581895746588
US - Rhode Island,US,Rhode Island,1.5,93,86,0.9247311827956989,3.336527620118419
US - South Carolina,US,South Carolina,1.5,93,72,0.7741935483870968,1.5922756340566406
US - South Dakota,US,South Dakota,1.5,93,22,0.23655913978494625,1.3532274517558522
US - Tennessee,US,Tennessee,1.5,93,0,0.0,0.9589594079080827
US - Texas,US,Texas,1.5,93,0,0.0,1.0147963743943338
US - Utah,US,Utah,1.5,93,0,0.0,1.003411229528381
US - Vermont,US,Vermont,1.5,93,93,1.0,2.8279297454226677
US - Virginia,US,Virginia,1.5,93,90,0.967741935483871,3.3638699987754546
US - Washington,US,Washington,1.5,93,0,0.0,1.0753960989283522
US - West Virginia,US,West Virginia,1.5,93,0,0.0,1.0056067479828668
US - Wisconsin,US,Wisconsin,1.5,93,53,0.5698924731182796,1.5232230448408572
US - Wyoming,US,Wyoming,1.5,93,73,0.7849462365591398,1.5249595304764025
Uzbekistan,Uzbekistan,None,1.5,93,23,0.24731182795698925,1.2275984065831367
Venezuela,Venezuela,None,1.5,93,13,0.13978494623655913,1.3777555362491063
Vietnam,Vietnam,None,1.5,93,58,0.6236559139784946,1.6153320279700936
Yemen,Yemen,None,1.5,93,93,1.0,12.4917241444569
Zambia,Zambia,None,1.5,93,93,1.0,10.825716501587022
Zimbabwe,Zimbabwe,None,1.5,93,93,1.0,7.167979157532243
