region,policy_vector,month1,month2,month3,economic_costs,humanitarian_costs,total_costs,num_cases,num_deaths,d_costs,h_costs,mh_costs,hospitalization_days,icu_days
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools,33464403494.374084,421339582474.60864,454803985968.9827,1810422,85202,375641940093.6705,2251148200.8292685,43446494180.108864,3050999.882352941,111593.11764705883
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,26738479838.36091,810307774227.1077,837046254065.4686,3744897,171970,758930458482.4902,3556383901.0243907,47820931843.59303,4780878.470588235,182163.52941176473
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,35125749871.05163,382672533429.6868,417798283300.73846,1619381,76577,337552144522.167,2105896663.682927,43014492243.836914,2857995.705882353,103814.29411764706
BR,"['No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,41111135682.060616,294489274810.03357,335600410492.0942,1185768,56908,250706502148.68402,1748811589.3170733,42033961072.03249,2382664.3529411764,84818.64705882354
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,No_Measure,25118073288.180687,241183947573.5686,266302020861.7493,978864,45033,198722980185.24905,894879331.0975611,41566088057.222,1207695.0,45132.0
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings,29388403850.591423,189000048576.9853,218388452427.57672,716609,33392,147277833323.33856,749165694.9512196,40973049558.6955,1015342.4117647059,37138.58823529412
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,43641003300.296196,113693135042.22404,157334138342.52023,340652,16593,73058350031.41989,511888832.5609757,40122896178.24318,701278.5294117647,24248.470588235297
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,32340698051.64637,165478897575.9654,197819595627.61176,598727,28145,124092392875.049,680022278.3414636,40706482422.574936,923967.2941176471,33360.705882352944
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,45759184794.99907,108918456122.58365,154677640917.5827,317030,15528,68354821815.869774,494154671.195122,40069479635.51875,677719.0,23298.0
BR,"['No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,52784879502.112526,98274907841.96361,151059787344.07614,264665,13154,57872529094.03223,451312339.902439,39951066408.028946,620697.1764705882,21017.823529411766
BR,"['No_Measure', 'Lockdown', 'No_Measure']",No_Measure,Lockdown,No_Measure,30549569814.803764,111961733890.08028,142511303704.88403,342264,16208,71441026787.01006,394165701.43902445,40126541401.631195,537855.4705882353,18993.529411764706
BR,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings']",No_Measure,Lockdown,Restrict_Mass_Gatherings,35336362903.1152,97446396150.28543,132782759053.40063,269280,12970,57131013779.3382,353880041.1219512,39961502329.82529,484677.76470588235,16783.235294117647
BR,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",No_Measure,Lockdown,Restrict_Mass_Gatherings_and_Schools,50336940869.073364,77049442213.53534,127386383082.6087,167439,8420,37028598792.39796,289634636.6341464,39731208784.50323,399638.4705882353,13293.529411764706
BR,"['No_Measure', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",No_Measure,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,38522124110.293976,91000041162.60861,129522165272.90259,236958,11532,50776656780.930084,334971946.6097561,39888412435.06876,459691.0,15750.000000000002
BR,"['No_Measure', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",No_Measure,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,52502519767.894646,75785165241.29999,128287685009.19464,161187,8138,35783180737.94337,284913396.6585366,39717071106.69809,393363.0,13041.0
BR,"['No_Measure', 'Lockdown', 'Lockdown']",No_Measure,Lockdown,Lockdown,59633563869.262764,72987537398.81978,132621101268.08255,147430,7514,33027993472.44166,273581590.24390244,39685962336.13422,378280.0,12438.0
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'No_Measure']",Restrict_Mass_Gatherings,No_Measure,No_Measure,27462286972.862183,1714721259090.335,1742183546063.1973,8237035,373711,1650054022949.653,6688210934.92683,57979025205.7551,8934713.176470589,351026.8235294118
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,No_Measure,Restrict_Mass_Gatherings,26737861625.637444,1295147044818.8918,1321884906444.5293,6144323,280110,1236533225491.5493,5367053877.658537,53246765449.68418,7186909.882352941,279119.11764705885
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,No_Measure,Restrict_Mass_Gatherings_and_Schools,31807998526.749256,542907672228.34106,574715670755.0903,2403216,112305,495272863547.54376,2847826564.536586,44786982116.26076,3848483.6470588236,142851.35294117648
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,27104822533.610363,1081443441176.4491,1108548263710.0596,5078979,232437,1025922445824.9122,4683297436.024391,50837697915.51244,6281861.705882353,241976.29411764708
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,33245788511.681675,487630765743.53564,520876554255.21735,2130247,99975,440822133452.8856,2638916292.878049,44169715997.771965,3570846.8235294116,131670.17647058825
BR,"['Restrict_Mass_Gatherings', 'No_Measure', 'Lockdown']",Restrict_Mass_Gatherings,No_Measure,Lockdown,38703139408.13906,360060325407.2382,398763464815.37726,1503122,71521,315188876250.07336,2119853951.7073174,42751595205.457504,2879823.529411765,104069.4705882353
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'No_Measure']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,No_Measure,23926780800.02116,1077963554554.9609,1101890335354.9822,5114130,231680,1023003938732.0316,4042430781.2926836,50917185041.63665,5400871.823529412,212070.17647058825
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,25041893184.334015,794491193832.8555,819533087017.1895,3695564,168442,743585678877.8696,3196140062.6341467,47709374892.351654,4282383.294117647,165843.70588235295
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,34075238933.43994,335151343943.0669,369226582876.50684,1406877,65975,290914083988.75415,1703304032.3414633,42533955921.971275,2305304.8235294116,84915.17647058824
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,26447321120.37572,657459017832.986,683906338953.3617,3010793,137873,608523828966.3989,2774289944.8536587,46160898921.73341,3724409.588235294,142867.4117647059
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,35830321385.32046,303442462736.57886,339272784121.8993,1250188,58902,259678044760.3399,1584783646.9756098,42179634329.26334,2147836.588235294,78565.41176470589
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings', 'Lockdown']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings,Lockdown,42032736553.49477,231453205036.6803,273485941590.17505,896111,42845,188779913964.30728,1294332773.8536587,41378958298.51935,1761246.8235294118,63108.17647058824
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'No_Measure']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,No_Measure,27234154486.709682,188631760400.24744,215865914886.95712,727013,33306,146998695351.3556,636488874.7317075,40996576174.16011,857200.4705882353,32367.529411764706
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings,31667248880.91425,148327126157.35107,179994375038.26532,524407,24315,107264287982.69029,524415927.1463415,40538422247.51444,709271.8235294118,26217.176470588238
