Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Africa,Comoros,None,5/30/20,20.67718674,1.12038006,-7.790609995,1.448143566,0.09710307,0.019420398,0,0.14880674,0.168344887,0.013691537,24.07619659,1.018110722
Africa,Congo (Brazzaville),None,4/15/20,5.711883389,0.682486045,-71.53162116,0.127091273,0.055768127,0.042043865,0,0.019230701,0.434531902,3.548553548,74.92672724,2.077733983
Africa,Congo (Kinshasa),None,4/1/20,13.08104551,1.171048916,-26.40207487,0.385752544,6.53421978,0.024790434,0.119468361,0.625754947,0.154668161,0.044656799,80.80690864,1.635577876
North America,Costa Rica,None,3/21/20,20.63147033,0.656466914,-777.6350632,0.01377253,0.111514768,0.006583388,0,0.016944824,0.426071656,2.904319681,90.63221475,1.15865649
Africa,Cote d'Ivoire,None,3/27/20,21.62249297,0.481992995,-24.09580035,0.00710968,3.801630866,0.007982306,0,0.036011377,1.140880608,0,87.12359819,0.990323905
Europe,Croatia,None,3/19/20,15.09580205,3.841877187,-23.64332124,4.858179674,0.057586707,0.050539835,0.100981355,6.495474869,0.151687203,1.545903498,81.9191179,1.591102276
North America,Cuba,None,3/28/20,13.17432614,0.990626349,-44.78397366,0.588184374,3.44887856,0.042597717,0.196837059,4.078444752,0.144680675,0.597139806,86.9673748,5
Europe,Cyprus,None,3/23/20,4.765080886,2.569774622,-495.4332551,0.352805924,0.39646181,0.017595301,0,3.71107122,0.001413213,0.531888555,65.28166531,1.418312725
Europe,Czechia,None,3/13/20,59.97907181,0.419468393,-64.15263735,0.128890109,0.127718084,0.038217537,0.145555142,12.77357007,2.639509165,3.135646299,91.69834313,3.296098972
Europe,Denmark,None,3/10/20,57.53031568,0.582375426,0.011248462,0.528716057,0.637461628,0.051715547,0.053046623,1.83842599,1.592277602,2.273545477,96.09338675,2.341166799
Africa,Djibouti,None,4/8/20,32.44728167,1.448802022,-35.15158785,0.64338209,0.007303686,0.046990708,0,1.633449048,0.018191332,0,75.22298439,0.9680586
North America,Dominican Republic,None,3/21/20,24.706737,0.673830578,-370.9448252,0.035429379,8.320755288,0.031797877,0.192538656,2.951103589,8.75552972,0.770290642,89.31229479,1.110489394
South America,Ecuador,None,3/18/20,11.79900944,0.902527952,0.673971711,0.689186804,0.101172668,0.104934777,0.095216343,8.798494882,0.529284047,2.584406717,93.88644062,1.92740677
Africa,Egypt,None,3/14/20,17.39376821,0.610725015,-34.97382902,0.07263994,2.76340105,0.041081582,0,4.060274736,0.189663801,0,97.97989353,0.965486714
North America,El Salvador,None,4/9/20,10.94726672,0.610209203,-15.51731156,0.153134538,0.027646737,0.051901712,0,1.635143119,0.342988637,0.926595174,73.04198128,1.772177976
