region,t0,policy_before,policy_after,severity_change,direction
Afghanistan__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Albania__None,2020-03-09,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Albania__None,2020-03-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Albania__None,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Algeria__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Algeria__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Andorra__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Andorra__None,2020-07-07,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Angola__None,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Angola__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Angola__None,2020-05-26,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Argentina__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Argentina__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Australia__Australian_Capital_Territory,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Australian_Capital_Territory,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__New_South_Wales,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__New_South_Wales,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Queensland,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Queensland,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__South_Australia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__South_Australia,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Tasmania,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Tasmania,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Victoria,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Victoria,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Australia__Western_Australia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Australia__Western_Australia,2020-06-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Austria__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Austria__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
Austria__None,2020-05-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Austria__None,2020-06-03,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Azerbaijan__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Azerbaijan__None,2020-03-31,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Azerbaijan__None,2020-05-18,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Azerbaijan__None,2020-06-03,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
Azerbaijan__None,2020-06-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Azerbaijan__None,2020-06-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Bahrain__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Bangladesh__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Bangladesh__None,2020-04-10,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Bangladesh__None,2020-05-31,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Belarus__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Belarus__None,2020-04-03,Mass_Gatherings_Authorized_But_Others_Restricted,No_Measure,-2,relaxing
Belarus__None,2020-04-04,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Belarus__None,2020-04-08,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools,1,tightening
Belarus__None,2020-04-20,Restrict_Mass_Gatherings_and_Schools,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,1,tightening
Belgium__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Belgium__None,2020-03-18,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Belgium__None,2020-06-08,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Benin__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Benin__None,2020-03-30,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Bolivia__None,2020-03-10,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Bolivia__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Bolivia__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Bolivia__None,2020-06-20,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Bolivia__None,2020-06-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Bosnia_and_Herzegovina__None,2020-03-10,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Bosnia_and_Herzegovina__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Bosnia_and_Herzegovina__None,2020-04-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Bosnia_and_Herzegovina__None,2020-05-14,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Bulgaria__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Burkina_Faso__None,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
Burkina_Faso__None,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,4,tightening
Burkina_Faso__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Burkina_Faso__None,2020-06-01,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Burkina_Faso__None,2020-07-01,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Cambodia__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Cameroon__None,2020-03-18,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
Canada__Alberta,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Alberta,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Alberta,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Alberta,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__British_Columbia,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__British_Columbia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__British_Columbia,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__British_Columbia,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Manitoba,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Manitoba,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Manitoba,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Manitoba,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__New_Brunswick,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__New_Brunswick,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__New_Brunswick,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__New_Brunswick,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Newfoundland_and_Labrador,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Newfoundland_and_Labrador,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Newfoundland_and_Labrador,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Newfoundland_and_Labrador,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Nova_Scotia,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Nova_Scotia,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Nova_Scotia,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Nova_Scotia,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Ontario,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Ontario,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Ontario,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Ontario,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Quebec,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Quebec,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Quebec,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Quebec,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Canada__Saskatchewan,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Canada__Saskatchewan,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Canada__Saskatchewan,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Canada__Saskatchewan,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Central_African_Republic__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Central_African_Republic__None,2020-03-26,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Central_African_Republic__None,2020-05-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Central_African_Republic__None,2020-06-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Central_African_Republic__None,2020-07-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,-2,relaxing
Chad__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Chad__None,2020-04-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Chile__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Chile__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Chile__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Chile__None,2020-05-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Chile__None,2020-07-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Colombia__None,2020-03-09,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Colombia__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Colombia__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Colombia__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Colombia__None,2020-07-14,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Congo_(Kinshasa)__None,2020-03-10,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Congo_(Kinshasa)__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Congo_(Kinshasa)__None,2020-07-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Costa_Rica__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Costa_Rica__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Cote_d'Ivoire__None,2020-03-12,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Cote_d'Ivoire__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Cote_d'Ivoire__None,2020-05-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Cote_d'Ivoire__None,2020-05-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Croatia__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Croatia__None,2020-03-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Croatia__None,2020-05-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Croatia__None,2020-07-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Cuba__None,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Cuba__None,2020-03-24,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Cuba__None,2020-05-05,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Cuba__None,2020-06-18,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Cyprus__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Cyprus__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Cyprus__None,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Cyprus__None,2020-05-21,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Czechia__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Czechia__None,2020-03-11,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Czechia__None,2020-03-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Czechia__None,2020-04-21,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Czechia__None,2020-06-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Czechia__None,2020-06-30,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Denmark__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Djibouti__None,2020-03-18,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Djibouti__None,2020-03-23,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Djibouti__None,2020-05-17,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Dominican_Republic__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Dominican_Republic__None,2020-03-19,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Dominican_Republic__None,2020-04-18,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Dominican_Republic__None,2020-06-28,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Dominican_Republic__None,2020-07-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Ecuador__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Ecuador__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Egypt__None,2020-03-09,No_Measure,Restrict_Mass_Gatherings,1,tightening
Egypt__None,2020-03-15,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
Egypt__None,2020-03-16,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
Egypt__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Egypt__None,2020-06-27,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
El_Salvador__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
El_Salvador__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Estonia__None,2020-03-12,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
Estonia__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Estonia__None,2020-05-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Ethiopia__None,2020-03-16,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
Finland__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Finland__None,2020-03-18,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Finland__None,2020-05-14,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
France__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
France__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
France__None,2020-05-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
France__None,2020-06-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Gabon__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Gabon__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Gabon__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Gabon__None,2020-04-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Gabon__None,2020-05-11,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Georgia__None,2020-03-26,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Georgia__None,2020-05-23,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Germany__None,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Germany__None,2020-05-19,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Ghana__None,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Ghana__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Greece__None,2020-03-09,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Greece__None,2020-03-10,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Greece__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Greece__None,2020-05-30,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Greece__None,2020-06-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Guatemala__None,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Guatemala__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Guatemala__None,2020-03-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Guinea__None,2020-03-27,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Guinea__None,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Guinea__None,2020-06-15,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Guinea__None,2020-06-29,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Guyana__None,2020-04-03,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Guyana__None,2020-06-17,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Haiti__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Haiti__None,2020-07-20,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
Honduras__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Honduras__None,2020-03-16,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Hungary__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Hungary__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Hungary__None,2020-05-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
