region,t0,policy_before,policy_after,severity_change,direction
Trinidad_and_Tobago__None,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Trinidad_and_Tobago__None,2020-06-08,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Tunisia__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Tunisia__None,2020-03-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Tunisia__None,2020-05-15,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Tunisia__None,2020-06-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Turkey__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Turkey__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Turkey__None,2020-04-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Turkey__None,2020-04-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Turkey__None,2020-04-18,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Turkey__None,2020-04-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Turkey__None,2020-07-22,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
US__Alabama,2020-03-19,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
US__Alabama,2020-04-04,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Alabama,2020-05-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Alabama,2020-06-16,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,-2,relaxing
US__Alaska,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Alaska,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Alaska,2020-03-28,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Alaska,2020-04-25,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Alaska,2020-05-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
US__Arizona,2020-03-16,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Arizona,2020-03-30,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
US__Arizona,2020-05-17,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
US__Arkansas,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Arkansas,2020-03-27,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
